model,train_size,mean_test_acc,std_test_acc,mean_train_acc,mean_cv_acc
LogisticRegression,0.2,0.8525641025641025,0.016959944301696114,0.8717948717948718,0.8452380952380952
LogisticRegression,0.5,0.836734693877551,0.03061224489795919,0.9175257731958762,0.8798245614035087
LogisticRegression,0.8,0.8461538461538461,0.0678397772067844,0.8824786324786326,0.8527553763440862
MLP,0.2,0.7905982905982906,0.06420931282613981,0.8376068376068376,0.7773809523809524
MLP,0.5,0.7993197278911565,0.03280153320065636,0.8591065292096219,0.8419298245614035
MLP,0.8,0.8632478632478633,0.014803853056144279,0.8717948717948718,0.8508064516129034
RandomForest,0.2,0.8226495726495727,0.030293689911875723,0.9572649572649573,0.8369047619047619
RandomForest,0.5,0.836734693877551,0.03534797566467089,0.9793814432989691,0.8964912280701753
RandomForest,0.8,0.8888888888888888,0.0645284994467586,1.0,0.8825940860215055
SVM_RBF,0.2,0.8354700854700855,0.03645026091716238,0.9487179487179488,0.863095238095238
SVM_RBF,0.5,0.8707482993197279,0.005891329277445183,0.9553264604810997,0.9105263157894736
SVM_RBF,0.8,0.9145299145299145,0.014803853056144222,1.0,0.9336021505376344
